subject,comp,eog_corr,eog_zscore,iclabel_label,iclabel_proba
01,0,0.5919053280948983,0.5919053280948983,other,0.548064112663269
01,1,0.06673543257601111,0.06673543257601111,brain,0.4774118661880493
01,2,0.5916545809277464,0.5916545809277464,other,0.729446291923523
01,3,0.2689974541142333,0.2689974541142333,line noise,0.8985248804092407
01,4,0.7855755136936364,0.7855755136936364,brain,0.959165096282959
01,5,0.12525764986210075,0.12525764986210075,brain,0.6140398383140564
01,6,0.05377338280697031,0.05377338280697031,brain,0.5426311492919922
01,7,0.2449431426015922,0.2449431426015922,brain,0.42183420062065125
01,8,0.14122581363082826,0.14122581363082826,brain,0.5893736481666565
01,9,0.20532520300795062,0.20532520300795062,brain,0.6344605088233948
01,10,0.06062630085143113,0.06062630085143113,other,0.5074238777160645
01,11,0.12085954456809071,0.12085954456809071,brain,0.42328280210494995
01,12,0.061931920894303216,0.061931920894303216,brain,0.5699849128723145
02,0,0.8379649560431717,0.8379649560431717,other,0.6999379992485046
02,1,0.1675040355416067,0.1675040355416067,brain,0.9943528175354004
02,2,0.13825012978518378,0.13825012978518378,brain,0.623302161693573
02,3,0.04077489923063639,0.04077489923063639,eye blink,0.8687525391578674
02,4,0.0666748063562867,0.0666748063562867,brain,0.4331786632537842
02,5,0.13026048316335395,0.13026048316335395,brain,0.4449892044067383
02,6,0.19422633807954776,0.19422633807954776,brain,0.981134831905365
02,7,0.4163755321818712,0.4163755321818712,brain,0.9555633068084717
02,8,0.0409397894964832,0.0409397894964832,brain,0.4530301094055176
02,9,0.08348076940343233,0.08348076940343233,muscle artifact,0.32795098423957825
02,10,0.09471482496303786,0.09471482496303786,brain,0.6702057719230652
02,11,0.08151141212387754,0.08151141212387754,brain,0.6323754787445068
02,12,0.020973664624319828,0.020973664624319828,other,0.6139766573905945
03,0,0.7025578923507839,0.7025578923507839,other,0.8499240279197693
03,1,0.15579383655768458,0.15579383655768458,brain,0.7812787890434265
03,2,0.08259557555206942,0.08259557555206942,line noise,0.443327397108078
03,3,0.22630385943393524,0.22630385943393524,brain,0.9892802238464355
03,4,0.3298038505430442,0.3298038505430442,brain,0.9042575359344482
03,5,0.03107378338697643,0.03107378338697643,eye blink,0.7704158425331116
03,6,0.4406190283394927,0.4406190283394927,eye blink,0.981137752532959
03,7,0.06839615434144188,0.06839615434144188,brain,0.51287841796875
03,8,0.10839824223153262,0.10839824223153262,brain,0.7301379442214966
03,9,0.07307618751935485,0.07307618751935485,eye blink,0.5597445368766785
03,10,0.2703717046928764,0.2703717046928764,brain,0.5436483025550842
03,11,0.2831173032596635,0.2831173032596635,brain,0.980233371257782
03,12,0.007158262383486491,0.007158262383486491,other,0.6727271676063538
03,13,0.024736151284074543,0.024736151284074543,line noise,0.6294211149215698
04,0,0.09395501579472366,0.09395501579472366,brain,0.7136527299880981
04,1,0.4323292047442636,0.4323292047442636,other,0.555601954460144
04,2,0.7939883836665159,0.7939883836665159,brain,0.5989727973937988
04,3,0.35174353193540947,0.35174353193540947,brain,0.5137178897857666
04,4,0.14920694771442888,0.14920694771442888,eye blink,0.690361738204956
04,5,0.6088542256394557,0.6088542256394557,brain,0.7595037817955017
04,6,0.04252602240189429,0.04252602240189429,other,0.5505702495574951
04,7,0.012617313373607384,0.012617313373607384,line noise,0.44274479150772095
04,8,0.022254574808812717,0.022254574808812717,channel noise,0.5753057599067688
04,9,0.06836265774028298,0.06836265774028298,line noise,0.516462504863739
04,10,0.36077095527617076,0.36077095527617076,other,0.5805501937866211
04,11,0.2755854223650948,0.2755854223650948,line noise,0.44556498527526855
04,12,0.07969724410642696,0.07969724410642696,brain,0.5004120469093323
05,0,0.7492492772311441,0.7492492772311441,other,0.6830708384513855
05,1,0.22836415245066424,0.22836415245066424,other,0.4206000864505768
05,2,0.22805937676726004,0.22805937676726004,line noise,0.855415403842926
05,3,0.39549358294802933,0.39549358294802933,other,0.38409531116485596
05,4,0.3860805165056359,0.3860805165056359,brain,0.8432420492172241
05,5,0.21650788471220292,0.21650788471220292,brain,0.577229380607605
05,6,0.6756983847451649,0.6756983847451649,brain,0.9662253856658936
05,7,0.04683188057740686,0.04683188057740686,other,0.6238673329353333
05,8,0.1603448337639866,0.1603448337639866,brain,0.4588175415992737
05,9,0.368340158929314,0.368340158929314,brain,0.6574838161468506
05,10,0.13223375290400288,0.13223375290400288,eye blink,0.9791704416275024
05,11,0.03198241919382506,0.03198241919382506,brain,0.7351316213607788
05,12,0.14296803669728153,0.14296803669728153,line noise,0.513954758644104
05,13,0.014640229402558902,0.014640229402558902,line noise,0.8936575055122375
06,0,0.10674884030584714,0.10674884030584714,brain,0.6817028522491455
06,1,0.06267180779663653,0.06267180779663653,brain,0.6310948729515076
06,2,0.42081169698515813,0.42081169698515813,brain,0.9958987236022949
06,3,0.4486783918430713,0.4486783918430713,other,0.6098271608352661
06,4,0.43619282771667883,0.43619282771667883,brain,0.926793098449707
06,5,0.6834861122164444,0.6834861122164444,brain,0.9278676509857178
06,6,0.014495736183656098,0.014495736183656098,line noise,0.46477729082107544
06,7,0.5223357681938188,0.5223357681938188,brain,0.47409969568252563
06,8,0.024946035278227544,0.024946035278227544,brain,0.5413636565208435
06,9,0.165415542456585,0.165415542456585,brain,0.4251311123371124
06,10,0.33209943584113366,0.33209943584113366,brain,0.7259509563446045
06,11,0.123534403861424,0.123534403861424,eye blink,0.793635368347168
07,0,0.12869059931393617,0.12869059931393617,brain,0.8792951107025146
07,1,0.49342901176656523,0.49342901176656523,brain,0.4751431941986084
07,2,0.04219420579944336,0.04219420579944336,line noise,0.3836788237094879
07,3,0.477990978786668,0.477990978786668,brain,0.947646975517273
07,4,0.19185395355814022,0.19185395355814022,brain,0.7746316194534302
07,5,0.03882982255332533,0.03882982255332533,eye blink,0.8558420538902283
07,6,0.05308757254686256,0.05308757254686256,other,0.6317096948623657
07,7,0.39550755424188655,0.39550755424188655,brain,0.46815061569213867
07,8,0.1829018371733766,0.1829018371733766,muscle artifact,0.47094401717185974
07,9,0.01601465011773996,0.01601465011773996,other,0.5889805555343628
07,10,0.22277755269704005,0.22277755269704005,brain,0.7876519560813904
07,11,0.28840329965012673,0.28840329965012673,other,0.4168989062309265
07,12,0.32006269147207006,0.32006269147207006,brain,0.9915601015090942
07,13,0.08292208856294614,0.08292208856294614,other,0.7210052013397217
08,0,0.27115385659643726,0.27115385659643726,brain,0.6987232565879822
08,1,0.08315021890406664,0.08315021890406664,brain,0.7804917097091675
08,2,0.642135342332832,0.642135342332832,brain,0.5475438237190247
08,3,0.013346388994235247,0.013346388994235247,other,0.7827821969985962
08,4,0.056901316458993496,0.056901316458993496,brain,0.6867938041687012
08,5,0.5362778408793328,0.5362778408793328,eye blink,0.5123664140701294
08,6,0.6287196670850752,0.6287196670850752,other,0.5178052186965942
08,7,0.15155226120244686,0.15155226120244686,brain,0.579550564289093
08,8,0.047398069803687035,0.047398069803687035,muscle artifact,0.47669750452041626
08,9,0.06336663383699094,0.06336663383699094,other,0.36870649456977844
08,10,0.2276331776700602,0.2276331776700602,brain,0.4861108362674713
08,11,0.3435036849084735,0.3435036849084735,brain,0.6592174768447876
08,12,0.0772557925199707,0.0772557925199707,other,0.4707479774951935
09,0,0.61299691319647,0.61299691319647,other,0.7619171142578125
09,1,0.34243951238712456,0.34243951238712456,eye blink,0.63325035572052
09,2,0.07346911571117558,0.07346911571117558,brain,0.8144426941871643
09,3,0.013819745277719668,0.013819745277719668,other,0.46470364928245544
09,4,0.2585010551818975,0.2585010551818975,other,0.39207205176353455
09,5,0.044555525785332006,0.044555525785332006,brain,0.512378990650177
